GenusSpecies,ImageID
Rhamnus alaternus,21994
Punica granatum,18372
Arbutus unedo,7000
Arbutus unedo,32278
Pistacia lentiscus,22819
Tilia cordata,3764
Ilex aquifolium,20334
Tilia cordata,1605
Laurus nobilis,10499
Olea europaea,342
Viburnum lantana,22547
Viburnum tinus,9068
Rhamnus cathartica,29455
Corylus avellana,4701
Fraxinus ornus,1061
Ilex aquifolium,3186
Crataegus azarolus,18722
Pistacia terebinthus,14511
Ilex aquifolium,6054
Fagus sylvatica,14387
Punica granatum,9573
Nerium oleander,20288
Sorbus torminalis,7302
Juglans nigra,24452
Vitex agnus-castus,19220
Crataegus azarolus,3419
Sorbus domestica,14597
Acer campestre,15756
Aesculus hippocastanum,28155
Cotinus coggygria,14710
Viburnum tinus,13792
Cotinus coggygria,27774
Viburnum tinus,15477
Fraxinus angustifolia,19514
Pittosporum tobira,28306
Acer campestre,31722
Melia azedarach,7525
Acer monspessulanum,8398
Acer negundo,10255
Cercis siliquastrum,23501
Castanea sativa,5165
Vitex agnus-castus,20946
Magnolia grandiflora,12157
Olea europaea,30949
Quercus ilex,15312
Robinia pseudoacacia,21826
Quercus pubescens,25813
Pittosporum tobira,29828
Rhamnus alaternus,17363
Crataegus monogyna,9327
Fraxinus angustifolia,20405
Rhamnus cathartica,9521
Acer platanoides,1779
Quercus coccifera,13246
Betula pendula,24600
Nerium oleander,26832
Albizia julibrissin,36296
Acer monspessulanum,15901
Diospyros kaki,5322
Albizia julibrissin,10547
Quercus ilex,20816
Ficus carica,20900
Platanus x hispanica,17927
Ginkgo biloba,27482
Pistacia terebinthus,6547
Acer monspessulanum,14340
Celtis australis,10853
Celtis australis,67
Platanus x hispanica,4046
Pistacia terebinthus,5045
Robinia pseudoacacia,34768
Rhamnus alaternus,6567
Crataegus monogyna,3827
Rhamnus alaternus,31629
Cotinus coggygria,35215
Acer negundo,7342
Paliurus spina-christi,21892
Fraxinus angustifolia,11911
Quercus coccifera,26620
Acer monspessulanum,24859
Viburnum tinus,8200
Nerium oleander,11609
Acer monspessulanum,15183
Quercus ilex,26689
Pistacia lentiscus,14319
Quercus coccifera,15774
Ficus carica,32536
Ailanthus altissima,31426
Magnolia grandiflora,29799
Prunus serotina,23009
Broussonetia papyrifera,14820
Olea europaea,29975
Juglans nigra,32098
Quercus ilex,11120
Punica granatum,7717
Laurus nobilis,6722
Crataegus azarolus,32766
Ilex aquifolium,35819
Pistacia terebinthus,5484
Rhamnus alaternus,12481
Fraxinus ornus,35308
Quercus petraea,6102
Platanus x hispanica,19781
Ilex aquifolium,3151
Pistacia lentiscus,30386
Betula pendula,13636
Platanus x hispanica,14318
Punica granatum,9780
Syringa vulgaris,34580
Cerasus mahaleb,6187
Robinia pseudoacacia,6273
Acer campestre,19403
Viburnum tinus,14315
Broussonetia papyrifera,4984
Cotinus coggygria,27329
Fraxinus angustifolia,31454
Cercis siliquastrum,31856
Ilex aquifolium,8288
Acer campestre,22504
Ilex aquifolium,19561
Quercus ilex,12983
Celtis australis,34771
Quercus pubescens,31835
Juglans regia,20251
Crataegus monogyna,5793
Magnolia grandiflora,24921
Sambucus nigra,21354
Olea europaea,7537
Viburnum tinus,21281
Salix caprea,22130
Magnolia grandiflora,34001
Rhamnus cathartica,30876
Viburnum tinus,5281
Sorbus domestica,1117
Fraxinus angustifolia,23943
Gleditsia triacanthos,30139
Viburnum tinus,34025
Sophora japonica,7933
Rhus typhina,17428
Nerium oleander,716
Albizia julibrissin,3416
Sorbus torminalis,2698
Nerium oleander,10386
Quercus pubescens,13477
Diospyros kaki,29408
Ailanthus altissima,3850
Pistacia lentiscus,15479
Ficus carica,8266
Ailanthus altissima,22964
Rhamnus cathartica,33821
Nerium oleander,25280
Tilia cordata,24593
Pistacia terebinthus,20848
Sophora japonica,16617
Cornus mas,30684
Ginkgo biloba,10750
Ficus carica,3613
Ailanthus altissima,33264
Fraxinus angustifolia,19912
Viburnum tinus,18673
Sorbus aria,19094
Laurus nobilis,18283
Corylus avellana,23836
Gleditsia triacanthos,33754
Ilex aquifolium,35461
Olea europaea,34113
Acer negundo,20925
Cercis siliquastrum,8281
Rhamnus alaternus,28115
Arbutus unedo,23101
Sorbus domestica,16452
Sorbus torminalis,25198
Phillyrea angustifolia,18780
Fraxinus angustifolia,33446
Olea europaea,8405
Platanus x hispanica,2668
Crataegus monogyna,5211
Paliurus spina-christi,3066
Cercis siliquastrum,22811
Broussonetia papyrifera,12928
Corylus avellana,29971
Laurus nobilis,22207
Viburnum tinus,4829
Robinia pseudoacacia,29740
Punica granatum,3980
Vitex agnus-castus,10703
Viburnum tinus,7567
Sorbus aria,20277
Olea europaea,26167
Olea europaea,26805
Celtis australis,19581
Pittosporum tobira,30882
Gleditsia triacanthos,28888
Fraxinus angustifolia,32336
Tilia cordata,25917
Crataegus monogyna,13950
Corylus avellana,10300
Salix caprea,30351
Rhamnus alaternus,32962
Prunus serotina,29126
Olea europaea,5017
Viburnum tinus,22270
Viburnum tinus,28936
Gleditsia triacanthos,16923
Viburnum tinus,23422
Fraxinus angustifolia,4889
Betula pendula,5801
Cotinus coggygria,2193
Ginkgo biloba,33028
Punica granatum,31079
Aesculus hippocastanum,28935
Pittosporum tobira,29048
Castanea sativa,26660
Corylus avellana,1596
Diospyros kaki,9320
Pistacia terebinthus,21216
Castanea sativa,13182
Rhus typhina,16008
Pittosporum tobira,9340
Ginkgo biloba,22189
Ginkgo biloba,1023
Acer negundo,26298
Pittosporum tobira,6021
Crataegus monogyna,1433
Quercus ilex,26143
Quercus ilex,5352
Platanus x hispanica,8404
Cerasus mahaleb,21338
Castanea sativa,35374
Rhamnus alaternus,8814
Viburnum tinus,22098
Sorbus domestica,17760
Melia azedarach,31097
Robinia pseudoacacia,10607
Quercus ilex,9015
Ficus carica,17039
Fagus sylvatica,34220
Platanus x hispanica,10876
Crataegus monogyna,19020
Laurus nobilis,26501
Vitex agnus-castus,12444
Arbutus unedo,10385
Quercus coccifera,27386
Quercus ilex,21983
Fraxinus ornus,26690
Pittosporum tobira,14115
Broussonetia papyrifera,33395
Crataegus azarolus,24896
Pittosporum tobira,16554
Pistacia terebinthus,36225
Albizia julibrissin,3111
Rhus typhina,4034
Nerium oleander,13445
Sorbus aria,36088
Alnus glutinosa,13031
Crataegus azarolus,11460
Fraxinus angustifolia,20064
Celtis australis,26288
Castanea sativa,33713
Viburnum lantana,9966
Paliurus spina-christi,15277
Pittosporum tobira,2663
Ilex aquifolium,32176
Cotinus coggygria,29779
Sophora japonica,5037
Laurus nobilis,25768
Vitex agnus-castus,11399
Ginkgo biloba,27457
Olea europaea,6973
Cerasus mahaleb,8063
Platanus x hispanica,33918
Fagus sylvatica,25658
Gleditsia triacanthos,6551
Nerium oleander,4493
Celtis australis,8962
Vitex agnus-castus,5005
Laburnum anagyroides,1859
Juglans nigra,31475
Paliurus spina-christi,11126
Quercus ilex,3838
Ailanthus altissima,21038
Broussonetia papyrifera,14420
Corylus avellana,5150
Syringa vulgaris,25681
Olea europaea,24584
Celtis australis,32647
Corylus avellana,17098
Rhamnus alaternus,10928
Castanea sativa,28184
Cornus mas,21848
Acer campestre,18521
Sorbus torminalis,13408
Quercus ilex,34169
Syringa vulgaris,5713
Sorbus torminalis,6007
Paliurus spina-christi,8808
Broussonetia papyrifera,14614
Pistacia lentiscus,24337
Nerium oleander,5254
Acer campestre,4469
Albizia julibrissin,13702
Olea europaea,8121
Laurus nobilis,27453
Acer opalus,18171
Nerium oleander,4159
Phillyrea angustifolia,33108
Robinia pseudoacacia,13547
Nerium oleander,4771
Platanus x hispanica,6795
Ailanthus altissima,8878
Arbutus unedo,26746
Magnolia grandiflora,3130
Quercus ilex,16117
Syringa vulgaris,7970
Cercis siliquastrum,18621
Viburnum tinus,17080
Cotinus coggygria,6573
Quercus ilex,2607
Quercus ilex,27119
Celtis australis,21462
Corylus avellana,14228
Albizia julibrissin,14561
Tilia cordata,28810
Acer monspessulanum,32226
Sophora japonica,11135
Viburnum tinus,31052
Cotinus coggygria,32017
Quercus ilex,30953
Crataegus azarolus,12938
Cerasus mahaleb,11864
Rhamnus alaternus,15701
Syringa vulgaris,19558
Juglans nigra,32177
Corylus avellana,35613
Ligustrum vulgare,21448
Ficus carica,13461
Fagus sylvatica,17920
Pittosporum tobira,35842
Viburnum tinus,23416
Diospyros kaki,7988
Fagus sylvatica,14777
Pistacia lentiscus,32878
Viburnum tinus,23187
Olea europaea,10668
Eriobotrya japonica,8868
Punica granatum,9869
Pistacia lentiscus,8595
Celtis australis,20718
Rhamnus cathartica,12347
Laburnum anagyroides,21705
Diospyros kaki,4830
Quercus coccifera,22077
Rhamnus alaternus,26442
Acer monspessulanum,34441
Paliurus spina-christi,30605
Laurus nobilis,8563
Cerasus mahaleb,14543
Quercus pubescens,17313
Fraxinus ornus,9628
Acer monspessulanum,17864
Olea europaea,3808
Pittosporum tobira,12280
Olea europaea,9108
Syringa vulgaris,30035
Acer negundo,19556
Quercus coccifera,7950
Platanus x hispanica,24097
Fraxinus angustifolia,33163
Acer campestre,15781
Prunus serotina,17498
Fraxinus angustifolia,6552
Betula pendula,32752
Cornus mas,31308
Crataegus monogyna,14952
Magnolia grandiflora,14904
Laburnum anagyroides,14275
Olea europaea,7041
Crataegus monogyna,23347
Carpinus betulus,696
Rhamnus alaternus,12839
Pistacia terebinthus,32655
Albizia julibrissin,4541
Betula pendula,31509
Olea europaea,28582
Fagus sylvatica,27533
Laburnum anagyroides,23588
Vitex agnus-castus,13226
Platanus x hispanica,21890
Juglans nigra,33017
Acer negundo,31380
Cotinus coggygria,11746
Cotinus coggygria,35137
Aesculus hippocastanum,16997
Carpinus betulus,11347
Broussonetia papyrifera,4275
Celtis australis,13042
Rhus typhina,22301
Carpinus betulus,28166
Sophora japonica,28106
Magnolia grandiflora,149
Corylus avellana,3779
Betula pendula,14751
Acer negundo,25065
Ficus carica,7199
Laurus nobilis,2918
Rhamnus alaternus,4613
Cercis siliquastrum,8842
Fraxinus angustifolia,13900
Rhus typhina,18729
Cercis siliquastrum,7997
Salix caprea,28798
Broussonetia papyrifera,35417
Platanus x hispanica,19653
Pistacia terebinthus,8747
Ailanthus altissima,455
Cornus mas,4157
Acer monspessulanum,5004
Viburnum tinus,29087
Eriobotrya japonica,18101
Laurus nobilis,5928
Betula pendula,19605
Platanus x hispanica,1746
Pistacia lentiscus,20613
Juglans nigra,20746
Ficus carica,34407
Pistacia lentiscus,21114
Cercis siliquastrum,8223
Acer monspessulanum,9680
Acer negundo,4408
Viburnum tinus,13017
Sambucus nigra,18935
Quercus pubescens,7539
Vitex agnus-castus,2972
Diospyros kaki,6687
Acer campestre,8988
Celtis australis,32906
Laburnum anagyroides,8486
Corylus avellana,7043
Ilex aquifolium,14423
Eriobotrya japonica,14542
Cotinus coggygria,12025
Castanea sativa,23109
Albizia julibrissin,34770
Olea europaea,24623
Magnolia grandiflora,17923
Ginkgo biloba,15827
Cercis siliquastrum,24327
Quercus ilex,34709
Ficus carica,16328
Juglans nigra,1803
Quercus ilex,22280
Aesculus hippocastanum,30004
Paliurus spina-christi,33251
Olea europaea,2736
Corylus avellana,28266
Nerium oleander,22846
Broussonetia papyrifera,167
Olea europaea,10646
Platanus x hispanica,10595
Rhamnus alaternus,14599
Sorbus domestica,16394
Prunus serotina,87
Corylus avellana,12762
Cotinus coggygria,34744
Olea europaea,27592
Cerasus mahaleb,2214
Quercus petraea,355
Ficus carica,24253
Crataegus monogyna,30637
Quercus coccifera,22274
Quercus pubescens,12170
Corylus avellana,25512
Platanus x hispanica,19695
Fraxinus angustifolia,34131
Fagus sylvatica,36053
Eriobotrya japonica,6483
Fraxinus angustifolia,35112
Acer campestre,25924
Betula pendula,5503
Olea europaea,25012
Quercus ilex,18345
Albizia julibrissin,6338
Quercus ilex,22407
Rhamnus alaternus,17766
Corylus avellana,20002
Crataegus monogyna,27178
Fraxinus angustifolia,30336
Laurus nobilis,4297
Quercus coccifera,27276
Magnolia grandiflora,28685
Diospyros kaki,33398
Ginkgo biloba,792
Albizia julibrissin,19623
Cotinus coggygria,24807
Crataegus monogyna,25205
Fraxinus ornus,23356
Olea europaea,25157
Quercus ilex,18679
Acer campestre,18743
Olea europaea,7312
Viburnum tinus,20576
Sambucus nigra,4170
Pistacia lentiscus,9333
Ilex aquifolium,429
Nerium oleander,1365
Celtis australis,32178
Celtis australis,21333
Fraxinus ornus,12533
Broussonetia papyrifera,14187
Celtis australis,35002
Corylus avellana,35968
Sorbus torminalis,11383
Crataegus monogyna,19190
Fraxinus angustifolia,21005
Ginkgo biloba,24784
Broussonetia papyrifera,16143
Nerium oleander,15128
Corylus avellana,11715
Juglans nigra,29582
Vitex agnus-castus,1861
Ginkgo biloba,34804
Diospyros kaki,15575
Corylus avellana,22082
Quercus ilex,31925
Vitex agnus-castus,11872
Rhamnus alaternus,31023
Cotinus coggygria,24561
Fagus sylvatica,31774
Eriobotrya japonica,53
Platanus x hispanica,5688
Betula pendula,29060
Crataegus monogyna,2543
Diospyros kaki,22499
Fraxinus angustifolia,23118
Olea europaea,608
Ginkgo biloba,17615
Ginkgo biloba,9871
Eriobotrya japonica,2085
Betula pendula,30168
Celtis australis,11027
Gleditsia triacanthos,4583
Sorbus domestica,20223
Viburnum tinus,14377
Paliurus spina-christi,7855
Ilex aquifolium,23350
Cotinus coggygria,16993
Ilex aquifolium,21934
Crataegus monogyna,16287
Broussonetia papyrifera,711
Quercus pubescens,9034
Crataegus monogyna,8157
Pittosporum tobira,5875
Pittosporum tobira,2737
Pistacia lentiscus,968
Celtis australis,11680
Carpinus betulus,20322
Albizia julibrissin,17214
Acer monspessulanum,34224
Melia azedarach,10264
Rhamnus alaternus,1614
Laurus nobilis,32945
Melia azedarach,12310
Acer negundo,8582
Vitex agnus-castus,24983
Pistacia terebinthus,11395
Olea europaea,14563
Diospyros kaki,2869
Broussonetia papyrifera,2358
Acer campestre,21962
Olea europaea,21710
Diospyros kaki,13516
Pittosporum tobira,1900
Vitex agnus-castus,18348
Pittosporum tobira,8657
Viburnum tinus,32248
Fraxinus ornus,12682
Ailanthus altissima,16329
Crataegus azarolus,7612
Fraxinus angustifolia,1671
Cerasus mahaleb,26785
Quercus ilex,35552
Celtis australis,2376
Quercus pubescens,33613
Rhamnus alaternus,25183
Quercus ilex,8852
Platanus x hispanica,33233
Pistacia terebinthus,372
Cotinus coggygria,18141
Nerium oleander,26673
Vitex agnus-castus,5277
Pistacia terebinthus,1971
Viburnum tinus,18865
Cercis siliquastrum,29378
Platanus x hispanica,7512
Sophora japonica,30472
Ginkgo biloba,36271
Prunus spinosa,16784
Celtis australis,19022
Celtis australis,6706
Eriobotrya japonica,4881
Acer platanoides,28194
Cotinus coggygria,30186
Cercis siliquastrum,6563
Acer campestre,19921
Melia azedarach,909
Paliurus spina-christi,22367
Malus sylvestris,35294
Platanus x hispanica,1446
Quercus ilex,35988
Gleditsia triacanthos,21103
Quercus ilex,27862
Arbutus unedo,18086
Cornus mas,2247
Magnolia grandiflora,34102
Diospyros kaki,14748
Sambucus nigra,25197
Arbutus unedo,25079
Aesculus hippocastanum,17460
Juglans nigra,15646
Ginkgo biloba,14951
Acer opalus,1457
Pistacia terebinthus,19211
Cotinus coggygria,5602
Syringa vulgaris,28382
Crataegus azarolus,17341
Crataegus monogyna,2380
Malus sylvestris,10643
Prunus spinosa,4564
Syringa vulgaris,3274
Prunus serotina,30111
Pistacia lentiscus,2385
Viburnum tinus,6096
Nerium oleander,25758
Ginkgo biloba,26992
Quercus ilex,31128
Cotinus coggygria,28213
Sorbus domestica,26533
Punica granatum,31739
Carpinus betulus,23469
Pistacia terebinthus,9803
Quercus pubescens,34016
Juglans regia,333
Celtis australis,35667
Phillyrea angustifolia,4149
Olea europaea,7794
Carpinus betulus,12022
Crataegus monogyna,18873
Eriobotrya japonica,755
Prunus serotina,7547
Magnolia grandiflora,7470
Quercus ilex,23180
Nerium oleander,24795
Rhamnus alaternus,14097
Gleditsia triacanthos,16838
Viburnum tinus,33564
Diospyros kaki,35548
Arbutus unedo,22889
Viburnum tinus,23366
Broussonetia papyrifera,7830
Pistacia terebinthus,638
Albizia julibrissin,29651
Quercus ilex,7982
Arbutus unedo,16055
Ginkgo biloba,18071
Rhamnus alaternus,624
Cercis siliquastrum,33385
Cercis siliquastrum,11792
Punica granatum,23498
Cotinus coggygria,16842
Malus sylvestris,30171
Betula pendula,31245
Quercus coccifera,14915
Acer monspessulanum,17366
Laburnum anagyroides,13210
Cornus mas,24964
Broussonetia papyrifera,1527
Quercus ilex,24172
Castanea sativa,21233
Arbutus unedo,26358
Fraxinus angustifolia,8998
Nerium oleander,20354
Olea europaea,24519
Acer negundo,9815
Quercus ilex,8026
Castanea sativa,512
Viburnum tinus,20689
Quercus pubescens,6292
Acer monspessulanum,21099
Ginkgo biloba,11943
Corylus avellana,9870
Broussonetia papyrifera,35951
Ficus carica,5540
Acer negundo,5181
Betula pendula,11740
Arbutus unedo,11339
Laburnum anagyroides,2205
Cotinus coggygria,32322
Fagus sylvatica,17869
Quercus ilex,25525
Quercus pubescens,17537
Ginkgo biloba,23173
Aesculus hippocastanum,11295
Laburnum anagyroides,15640
Syringa vulgaris,4545
Corylus avellana,4495
Fraxinus angustifolia,15426
Cerasus mahaleb,26871
Robinia pseudoacacia,18332
Olea europaea,25900
Juglans nigra,14035
Robinia pseudoacacia,8397
Viburnum tinus,19615
Syringa vulgaris,30080
Ilex aquifolium,13535
Crataegus monogyna,19882
Nerium oleander,12406
Vitex agnus-castus,31576
Acer negundo,7015
Acer monspessulanum,1389
Celtis australis,7215
Ligustrum vulgare,6853
Paliurus spina-christi,22233
Pistacia terebinthus,35360
Broussonetia papyrifera,21111
Acer campestre,27699
Punica granatum,15270
Magnolia grandiflora,15578
Malus sylvestris,22066
Pistacia lentiscus,27844
Betula pendula,29438
Olea europaea,36154
Arbutus unedo,24783
Eriobotrya japonica,21909
Arbutus unedo,5958
Rhamnus cathartica,33747
Paliurus spina-christi,20398
Sophora japonica,19809
Gleditsia triacanthos,13667
Ilex aquifolium,24134
Acer campestre,2526
Celtis australis,22972
Platanus x hispanica,32859
Pistacia lentiscus,26808
Crataegus azarolus,21624
Acer monspessulanum,1923
Corylus avellana,4773
Acer campestre,9269
Cercis siliquastrum,25662
Acer campestre,454
Quercus coccifera,2064
Cercis siliquastrum,20950
Syringa vulgaris,31210
Viburnum tinus,26412
Alnus glutinosa,18467
Quercus pubescens,13140
Celtis australis,22620
Olea europaea,27742
Cerasus mahaleb,29446
Fraxinus excelsior,23608
Juglans regia,7718
Paliurus spina-christi,16824
Cotinus coggygria,14435
Acer monspessulanum,17190
Cotinus coggygria,30653
Aesculus hippocastanum,15375
Platanus x hispanica,24048
Acer monspessulanum,5959
Fraxinus angustifolia,15260
Sambucus nigra,15783
Acer negundo,2263
Viburnum tinus,33901
Carpinus betulus,519
Salix caprea,34443
Ilex aquifolium,20887
Viburnum tinus,27924
Aesculus hippocastanum,10939
Laburnum anagyroides,19763
Eriobotrya japonica,5361
Quercus ilex,1327
Albizia julibrissin,30902
Eriobotrya japonica,21552
Cotinus coggygria,18017
Quercus ilex,4840
Pistacia terebinthus,27971
Juglans regia,8475
Fraxinus angustifolia,10941
Ginkgo biloba,30297
Rhamnus alaternus,31702
Betula pendula,30095
Carpinus betulus,17072
Quercus pubescens,4767
Rhamnus alaternus,23796
Cercis siliquastrum,30894
Sorbus torminalis,3417
Punica granatum,18831
Ilex aquifolium,2528
Pistacia lentiscus,24520
Arbutus unedo,28532
Olea europaea,13994
Acer monspessulanum,28821
Fraxinus angustifolia,35534
Robinia pseudoacacia,35486
Ginkgo biloba,27535
Pistacia terebinthus,8967
Robinia pseudoacacia,27621
Eriobotrya japonica,24975
Crataegus monogyna,33410
Melia azedarach,16170
Cercis siliquastrum,2281
Pistacia terebinthus,13959
Diospyros kaki,18699
Viburnum tinus,15884
Gleditsia triacanthos,32532
Laburnum anagyroides,26053
Vitex agnus-castus,33538
Acer negundo,13438
Viburnum tinus,14901
Nerium oleander,31744
Cercis siliquastrum,10682
Pittosporum tobira,1112
Quercus ilex,24567
Robinia pseudoacacia,27850
Betula pendula,21314
Celtis australis,7355
Cotinus coggygria,12422
Pistacia lentiscus,36251
Gleditsia triacanthos,16340
Arbutus unedo,28892
Ginkgo biloba,19784
Albizia julibrissin,6967
Corylus avellana,17432
Celtis australis,23676
Alnus glutinosa,27791
Albizia julibrissin,32753
Fraxinus angustifolia,25517
Laurus nobilis,26557
Acer platanoides,13810
Acer negundo,4739
Ginkgo biloba,24249
Ficus carica,15883
Viburnum tinus,6192
Acer campestre,33903
Ginkgo biloba,4231
Cercis siliquastrum,29166
Ginkgo biloba,16456
Eriobotrya japonica,18915
Cornus mas,33272
Albizia julibrissin,17613
Ginkgo biloba,4634
Acer monspessulanum,661
Platanus x hispanica,19377
Melia azedarach,2926
Olea europaea,33060
Cotinus coggygria,32580
Prunus spinosa,18111
Sambucus nigra,6332
Cercis siliquastrum,18002
Celtis australis,24778
Melia azedarach,5057
Platanus x hispanica,2850
Laurus nobilis,29231
Pistacia terebinthus,19780
Cercis siliquastrum,21475
Pistacia terebinthus,31581
Vitex agnus-castus,32997
Pittosporum tobira,27138
Acer campestre,19315
Vitex agnus-castus,23367
Viburnum tinus,15817
Rhamnus cathartica,24821
Quercus ilex,7728
Quercus ilex,2003
Ginkgo biloba,11293
Acer campestre,19732
Pittosporum tobira,24726
Ilex aquifolium,34107
Betula pendula,19890
Syringa vulgaris,26854
Olea europaea,9110
Crataegus monogyna,14439
Pittosporum tobira,24990
Aesculus hippocastanum,24379
Nerium oleander,4693
Punica granatum,35691
Pittosporum tobira,14443
Cotinus coggygria,6287
Laurus nobilis,8735
Crataegus monogyna,15554
Fraxinus angustifolia,14787
Rhamnus alaternus,31661
Crataegus monogyna,24377
Crataegus monogyna,17722
Olea europaea,9156
Pittosporum tobira,17918
Nerium oleander,30356
Olea europaea,25447
Ilex aquifolium,25652
Acer monspessulanum,17786
Fraxinus ornus,33710
Acer campestre,11796
Fraxinus angustifolia,34447
Laurus nobilis,21669
Fraxinus angustifolia,11085
Viburnum tinus,19692
Crataegus monogyna,6296
Quercus ilex,28670
Ailanthus altissima,10549
Syringa vulgaris,4215
Quercus ilex,16369
Gleditsia triacanthos,5472
Pistacia lentiscus,19932
Nerium oleander,18102
Corylus avellana,20603
Quercus pubescens,3040
Fraxinus angustifolia,7325
Acer negundo,34497
Acer campestre,34271
Salix caprea,35527
Quercus ilex,14208
Acer campestre,671
Nerium oleander,29444
Pistacia lentiscus,12704
Viburnum tinus,7574
Ginkgo biloba,22041
Crataegus monogyna,25282
Laurus nobilis,15519
Laurus nobilis,13041
Acer negundo,7729
Ilex aquifolium,6933
Broussonetia papyrifera,4621
Acer negundo,1551
Pittosporum tobira,25748
Rhus typhina,1403
Platanus x hispanica,18294
Vitex agnus-castus,28872
Viburnum tinus,9336
Ailanthus altissima,30661
Ilex aquifolium,30519
Acer platanoides,1267
Ginkgo biloba,13249
Acer negundo,12279
Ficus carica,2574
Broussonetia papyrifera,32258
Pistacia lentiscus,32499
Acer monspessulanum,21054
Corylus avellana,31540
Corylus avellana,24361
Betula pendula,12008
Vitex agnus-castus,33004
Platanus x hispanica,4591
Pittosporum tobira,10371
Robinia pseudoacacia,32669
Quercus ilex,15530
Robinia pseudoacacia,9827
Cornus mas,24920
Laurus nobilis,4838
Diospyros kaki,14050
Vitex agnus-castus,35925
Pittosporum tobira,16904
Syringa vulgaris,29597
Rhamnus alaternus,1915
Fraxinus angustifolia,32477
Melia azedarach,8950
Fagus sylvatica,25937
Tilia cordata,5458
Quercus pubescens,2651
Albizia julibrissin,11882
Quercus pubescens,23978
Pistacia lentiscus,6157
Ficus carica,23822
Nerium oleander,25964
Acer opalus,3585
Fagus sylvatica,9798
Diospyros kaki,10238
Crataegus azarolus,26625
Acer campestre,832
Sophora japonica,2994
Quercus ilex,33692
Rhus typhina,29920
Pistacia lentiscus,17715
Juglans nigra,15795
Paliurus spina-christi,26097
Nerium oleander,1392
Cerasus mahaleb,410
Corylus avellana,13173
Rhamnus cathartica,22878
Acer negundo,17466
Fraxinus angustifolia,28410
Ilex aquifolium,33795
Cerasus mahaleb,12118
Sophora japonica,1147
Acer monspessulanum,20225
Eriobotrya japonica,2463
Aesculus hippocastanum,5248
Quercus pubescens,9334
Albizia julibrissin,24272
Sophora japonica,4209
Broussonetia papyrifera,29260
Carpinus betulus,32741
Broussonetia papyrifera,14749
Pistacia terebinthus,16817
Pittosporum tobira,31715
Olea europaea,31470
Alnus glutinosa,126
Ilex aquifolium,29768
Rhus typhina,31321
Rhamnus alaternus,23471
Olea europaea,18513
Diospyros kaki,392
Syringa vulgaris,20419
